severity_level,severity_priority,mach_root_label_name,strategy_id,strategy_name,reason,POC,data_days,total_review_in_cnt,total_review_done_cnt,total_label_cnt,avg_review_in_cnt,avg_review_done_cnt,avg_label_cnt,label_rate,prev_avg_review_in_cnt,prev_label_rate,growth_rate,daily_delta,hit_rule_ids,hit_conditions
notice,3,色情性化,10013833877,色情低俗-色情导流-词表-高准机审,sqds_sqdl_key_word_high_acc_review,刘小楷,7,32308.0,32297.0,2327.0,4615.428571428572,4613.857142857143,332.42857142857144,0.07205003560702232,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,15811696,【送审】领导人标题敏感词-旧,leader_antidirt,宋诗慧,7,30499.0,30133.0,2267.0,4357.0,4304.714285714285,323.85714285714283,0.07523313310987953,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10034206201,【人审-藏语队列】达赖生日扩召回策略_疑似涉藏分裂分子,national_security_tibetan_risk_user_list_for_dailai_birthday_temp_manual,杜衡,3,11592.0,11590.0,475.0,3864.0,3863.3333333333335,158.33333333333334,0.040983606557377046,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10033554719,识别_gandalf策略替换_时政8分类p2LS,model_llm_gandalf_8class_p2_ls_manual,杜衡,7,26386.0,26462.0,1291.0,3769.4285714285716,3780.285714285714,184.42857142857142,0.04878693976267856,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10012811200,【人审】国家安全-常规词表-标题,national_security_regular_title_words_review,杜衡,7,23377.0,23154.0,2174.0,3339.5714285714284,3307.714285714286,310.57142857142856,0.0938930638334629,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10032388172,【人审-藏语队列】藏语风险用户全量进审,national_security_tibetan_risk_user_list_manual,杜衡,7,22632.0,22761.0,1513.0,3233.1428571428573,3251.5714285714284,216.14285714285714,0.06647335354334168,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10012314255,【送审】领导人OCR敏感词-nlp,leader_nlp_ocr_antidirt,宋诗慧,7,22815.0,22562.0,1762.0,3259.285714285714,3223.1428571428573,251.71428571428572,0.07809591348284727,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,15801160,【送审】敏感人物旧模型-XP召回,leader_recall_xi,宋诗慧,7,19774.0,20014.0,1355.0,2824.8571428571427,2859.1428571428573,193.57142857142858,0.067702608174278,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10010019712,【送审】ocr领导人词表召回,ocr_leader_table_500recall,宋诗慧,7,17768.0,17938.0,691.0,2538.285714285714,2562.5714285714284,98.71428571428571,0.03852157431151745,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,指令舆情相关,10022271678,【ZL送人审】指令准入_ocr词表_AIGC,ZL_antidirt_10518_aigc_ocr_aigc_review,张发奇,7,17779.0,17653.0,1644.0,2539.8571428571427,2521.8571428571427,234.85714285714286,0.09312864668894806,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10001819210,【国家安全】雪山狮子旗eva-进审藏语,xueshanshizi_eva_33346_v6_2_jinshen,杜衡,7,17773.0,17547.0,1082.0,2539.0,2506.714285714286,154.57142857142858,0.06166296232974298,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,10024100858,图文_友见_执法负面_ocr&title_自动处置,tuwen_eva_120363_parodyingmartyrs_homogenization_ocr_title_review,李中涛,7,15817.0,15912.0,1324.0,2259.5714285714284,2273.1428571428573,189.14285714285714,0.08320764203117144,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,指令舆情相关,10019351880,ZL送人审_领导人_标准外_N1与历任_不规范_单字书法VLM&PE,model_llm_safe_mind_leader_beyond_rule_leader_name_chinese_charactor_zl_friend_see_review,张发奇,4,9362.0,8962.0,389.0,2340.5,2240.5,97.25,0.04340548984601651,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10012388677,【人审】LS词表_Recall95_LLM,LS_keywords_LLM,杜衡,7,15618.0,15454.0,730.0,2231.1428571428573,2207.714285714286,104.28571428571429,0.04723696130451663,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10030827217,【人审】LSduty哥router+专家特征,LS_duty_boy_26_review,杜衡,7,15172.0,15332.0,987.0,2167.4285714285716,2190.285714285714,141.0,0.06437516305765718,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10034071913,识别_宣扬分裂主义敏感人物人脸通用PE,model_llm_national_security_fenlie_sensitive_person_face_manual,杜衡,6,12069.0,11961.0,490.0,2011.5,1993.5,81.66666666666667,0.040966474375052256,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10031846913,【人审-LS风险】封面OCR_LS常规词表_12515,LS_regular_COVER_OCR_words_review,杜衡,7,13932.0,13731.0,211.0,1990.2857142857142,1961.5714285714287,30.142857142857142,0.015366688515038963,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10010298673,【送审】国家安全高危消重,high_risk_dedup_national_security_to_review,杜衡,7,13933.0,13726.0,694.0,1990.4285714285713,1960.857142857143,99.14285714285714,0.050560979163631066,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,10008386569,【送审】监管要求-省部级监管特殊收严,eva_0845_govhr_review,李中涛,7,12882.0,12765.0,287.0,1840.2857142857142,1823.5714285714287,41.0,0.022483352918135528,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10032775232,【人审-藏语队列】维语风险用户全量进审,national_security_uyghur_risk_user_list_manual,杜衡,2,3633.0,3635.0,217.0,1816.5,1817.5,108.5,0.05969738651994498,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,偏激社会情绪和涉外言论,10022809883,账号内容举报计次_召回送审,user_politic_rept_cnt_review,张发奇,7,12661.0,12660.0,1264.0,1808.7142857142858,1808.5714285714287,180.57142857142858,0.09984202211690363,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10022809883,账号内容举报计次_召回送审,user_politic_rept_cnt_review,宋诗慧,7,12661.0,12660.0,1264.0,1808.7142857142858,1808.5714285714287,180.57142857142858,0.09984202211690363,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10006575780,【送审】N1高危消重,high_risk_dedup_N1_to_review,宋诗慧,7,12214.0,12141.0,825.0,1744.857142857143,1734.4285714285713,117.85714285714286,0.06795156906350383,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,侵犯未成年权益,10032123015,【送人审】未成年违法-破解防沉迷,juvenile_pojiefangchenmi,张宇轩,7,11939.0,11838.0,1171.0,1705.5714285714287,1691.142857142857,167.28571428571428,0.09891873627301909,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10015391055,【不推荐】涉毛敏感词,leader_mao_antidirt_unrecommend_review,宋诗慧,7,11416.0,11537.0,360.0,1630.857142857143,1648.142857142857,51.42857142857143,0.031203952500650084,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10006128861,送审-gov-b领导人相关内容,gov_b_leader,宋诗慧,7,11486.0,11489.0,319.0,1640.857142857143,1641.2857142857142,45.57142857142857,0.027765688919836364,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10033427008,识别_N1出行-交通管制重点识别,N1_chuxing_model_llm_pe_review,宋诗慧,3,4704.0,4822.0,36.0,1568.0,1607.3333333333333,12.0,0.007465781833264205,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,指令舆情相关,10027554497,【ZL送人审】综合_指令自见综合&举报-副本34,ZL_eva_227415_general_multi_rept_review,张发奇,2,2989.0,3155.0,189.0,1494.5,1577.5,94.5,0.059904912836767035,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10004770670,【送审】19-N2隐晦悼念-节点加强版,lkq_eva_daonian,宋诗慧,1,1444.0,1548.0,7.0,1444.0,1548.0,7.0,0.004521963824289405,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,色情性化,10023903408,识别_维语_卖片,sqds_sqdl_wy_mp_review,刘小楷,7,10466.0,10468.0,840.0,1495.142857142857,1495.4285714285713,120.0,0.08024455483377914,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10032811670,【人审-敏感人物】历史违规+敏感人物人脸,national_security_sensitive_person_with_violation_record_manual,杜衡,7,10777.0,10466.0,846.0,1539.5714285714287,1495.142857142857,120.85714285714286,0.0808331740875215,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10012811199,【人审-LS风险】标题_LS常规词表_8887,LS_regular_title_words_review,杜衡,7,10516.0,10429.0,429.0,1502.2857142857142,1489.857142857143,61.285714285714285,0.04113529580976124,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10006180980,govb送审-命中兜底/领导人/国安词表,gov_b_sensitive_words,宋诗慧,7,10341.0,10343.0,224.0,1477.2857142857142,1477.5714285714287,32.0,0.021657159431499564,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10032775232,【人审-维语队列】维语风险用户全量进审,national_security_uyghur_risk_user_list_manual,杜衡,5,7376.0,7372.0,556.0,1475.2,1474.4,111.2,0.07542051003798156,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,15850775,线上+新疆召回模型+进人审,sinkiang,杜衡,7,9704.0,9710.0,492.0,1386.2857142857142,1387.142857142857,70.28571428571429,0.050669412976313076,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,10028068996,识别_不规范使用体制机制元素PE_中外对比,model_llm_mechanisms_improper_use_review,李中涛,7,9459.0,9475.0,735.0,1351.2857142857142,1353.5714285714287,105.0,0.07757255936675461,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10008022137,【送人审】N1高危消重-低危名单豁免,n1_high_risk_dudep_with_crop_unsafeuser,宋诗慧,7,9269.0,9163.0,563.0,1324.142857142857,1309.0,80.42857142857143,0.061442758921750516,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,15857112,【人审-维语队列】维语音频命中2724进审,hit_antidirt_2724,杜衡,7,9146.0,9142.0,184.0,1306.5714285714287,1306.0,26.285714285714285,0.020126886895646467,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10013160984,直接进审敏感词-底线迁移,direct_review_sensitive_word,宋诗慧,7,8894.0,8884.0,131.0,1270.5714285714287,1269.142857142857,18.714285714285715,0.014745610085547051,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,15857110,【人审-藏语队列】声纹进审-短视频：达赖,hit_sid_gandalf_dalai,杜衡,7,8845.0,8836.0,263.0,1263.5714285714287,1262.2857142857142,37.57142857142857,0.029764599366229064,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,违法违规,10033607810,违法违规-买卖、宣扬毒品-策略补充-召回-v0626,risk_of_illegal_drug_list_v0626,叶健,5,5810.0,5823.0,482.0,1162.0,1164.6,96.4,0.08277520178602095,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,15853534,【LS】文本细则-敏感内容-LS,xize_sensitive_ls,杜衡,7,8132.0,8051.0,324.0,1161.7142857142858,1150.142857142857,46.285714285714285,0.04024344801887964,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,违法违规,10026036091,违法违规-违禁商品和服务-违规通信与广电服务-召回-翻墙工具-0319,risk_of_illegal_bypass_vpn_accelerator_v1,叶健,5,5675.0,5688.0,459.0,1135.0,1137.6,91.8,0.08069620253164557,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,10004801327,【送审】历史虚无-文革,eva_045_wenge_sh,李中涛,7,7674.0,7580.0,666.0,1096.2857142857142,1082.857142857143,95.14285714285714,0.08786279683377309,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10033564861,识别_影射领导人,model_llm_yingshe_ldr_pe_review,宋诗慧,7,7150.0,7439.0,278.0,1021.4285714285714,1062.7142857142858,39.714285714285715,0.03737061432988305,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,指令舆情相关,10020031117,【送审】ZL弹窗_习酒_影射/负面情绪,n1_attack_eva_xijiu_review,张发奇,7,6963.0,6802.0,55.0,994.7142857142857,971.7142857142857,7.857142857142857,0.008085857100852691,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,15847944,【送审】历史虚无ASR词表,hit_antidirt_1768,李中涛,7,6549.0,6629.0,577.0,935.5714285714286,947.0,82.42857142857143,0.08704178609141651,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10013518351,【送人审】N1-大字风险,dazi_attack_n1_review,宋诗慧,7,6537.0,6505.0,310.0,933.8571428571429,929.2857142857143,44.285714285714285,0.04765564950038432,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10012314254,【送审】领导人OCR词表-中,leader_ocr_antidirt,宋诗慧,7,6561.0,6483.0,506.0,937.2857142857143,926.1428571428571,72.28571428571429,0.07805028536171525,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,色情性化,10032378726,色情低俗-色情裸露-足球露屁股-高vveva,sqds_sqll_zuqiu_vv_eva_review,刘小楷,6,5344.0,5348.0,151.0,890.6666666666666,891.3333333333334,25.166666666666668,0.028234854151084517,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,15853531,【人审-维语队列】新疆进审-词表,xinjiang_review_antidirt,杜衡,7,6179.0,6185.0,32.0,882.7142857142857,883.5714285714286,4.571428571428571,0.0051738075990299115,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10031460843,识别_传播LS敏感内容_坦克人,model_llm_cblsmgnr_tankeren_all_disp,杜衡,7,6068.0,6118.0,178.0,866.8571428571429,874.0,25.428571428571427,0.029094475318731612,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,15798711,【送人审】声纹进审：一号夫人,hit_sid_gandalf_PF,宋诗慧,7,5830.0,5882.0,148.0,832.8571428571429,840.2857142857143,21.142857142857142,0.025161509690581434,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10033602157,识别_【送审】毛邓周&十大元帅结合高阈值结合eva-gandalf替换,high_threshold_leader_mao_B_eva_llm_gandalf,宋诗慧,7,5729.0,5750.0,504.0,818.4285714285714,821.4285714285714,72.0,0.08765217391304347,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,10014765564,送人审_机构公职_执法负面_综合风险_长周期抽样,eva_72705_gov_enforcement_neg_general_long_term_sample_review,李中涛,7,5751.0,5664.0,541.0,821.5714285714286,809.1428571428571,77.28571428571429,0.09551553672316385,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,指令舆情相关,10014769961,【ZL送人审】杨兰兰文本识别,ZL_yanglanlan_textEVA_renshen,张发奇,7,5823.0,5640.0,356.0,831.8571428571429,805.7142857142857,50.857142857142854,0.06312056737588652,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,偏激社会情绪和涉外言论,10034095364,识别_过激民族主义_综合_送人审,social_foreign_model_llm_pe_nationalism_ganeral_unrecommend_review,张发奇,6,4768.0,4745.0,437.0,794.6666666666666,790.8333333333334,72.83333333333333,0.09209694415173868,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,偏激社会情绪和涉外言论,10022929691,【实验】党国_账号内容举报计次_召回送审,cpc_user_politic_rept_cnt_review,张发奇,7,5166.0,5169.0,226.0,738.0,738.4285714285714,32.285714285714285,0.04372218997871929,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,10022929691,【实验】党国_账号内容举报计次_召回送审,cpc_user_politic_rept_cnt_review,李中涛,7,5166.0,5169.0,226.0,738.0,738.4285714285714,32.285714285714285,0.04372218997871929,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,偏激社会情绪和涉外言论,10023294322,【图文】账号内容举报计次_召回送审,user_politic_rept_cnt_review,张发奇,7,5140.0,5142.0,494.0,734.2857142857143,734.5714285714286,70.57142857142857,0.09607156748346947,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10023294322,【图文】账号内容举报计次_召回送审,user_politic_rept_cnt_review,宋诗慧,7,5140.0,5142.0,494.0,734.2857142857143,734.5714285714286,70.57142857142857,0.09607156748346947,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10011642540,【人审】LS坦克人+专家特征,LS_tankman_26_review,杜衡,7,4880.0,4934.0,243.0,697.1428571428571,704.8571428571429,34.714285714285715,0.04925010133765707,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10013619675,【送审】N1高危消重-兜底,high_risk_dedup_N1_to_review_qianyi,宋诗慧,7,4969.0,4923.0,303.0,709.8571428571429,703.2857142857143,43.285714285714285,0.061547836684948204,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10032190109,gov_B出现国内国外领导人脸,gov_b_leader,宋诗慧,7,4840.0,4843.0,287.0,691.4285714285714,691.8571428571429,41.0,0.059260788767293,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,违法违规,10034122543,识别_违法违规-违规租售房屋广告-北京短租房-召回-v0703,risk_of_illegal_house_rent_v0703,叶健,3,2027.0,2025.0,49.0,675.6666666666666,675.0,16.333333333333332,0.02419753086419753,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,10015850167,【送审】敏感人物规则s1s2-敏感官员-300vv,Local_sensitive_officials_s1s2_300vv,李中涛,7,4719.0,4720.0,128.0,674.1428571428571,674.2857142857143,18.285714285714285,0.02711864406779661,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10028741540,识别_隐晦怀念HJT,hard_miss_HJT_review,宋诗慧,7,4668.0,4705.0,83.0,666.8571428571429,672.1428571428571,11.857142857142858,0.017640807651434644,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10002166947,【送审】毛邓周&十大元帅结合高阈值,high_threshold_leader_mao_B,宋诗慧,7,4702.0,4656.0,437.0,671.7142857142857,665.1428571428571,62.42857142857143,0.0938573883161512,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10009679112,【送审】毛人脸模型叠加eva召回,leader_mao_eva_recall,宋诗慧,7,4633.0,4641.0,185.0,661.8571428571429,663.0,26.428571428571427,0.039862098685628095,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10008349497,【新】国家分裂主义-宣扬分裂主义-不完整地图,fenlie_buwanzhnegditu_songshen,杜衡,7,4682.0,4637.0,192.0,668.8571428571429,662.4285714285714,27.428571428571427,0.04140608151822299,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10012547264,【送审】领导人漫画-XP召回,cartoon_leader_xp_recall,宋诗慧,2,1192.0,1311.0,57.0,596.0,655.5,28.5,0.043478260869565216,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10012811201,【人审-LS风险】ASR_LS常规词表_8884,LS_regular_ASR_words_review,杜衡,7,4392.0,4528.0,89.0,627.4285714285714,646.8571428571429,12.714285714285714,0.01965547703180212,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,10015850165,【送审】敏感人物规则s1s2-异见人士-300vv,opinion_person_s1s2_300vv,李中涛,7,4358.0,4363.0,86.0,622.5714285714286,623.2857142857143,12.285714285714286,0.019711207884483155,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,领导人,10033229846,识别_444决议关联N1,model_llm_444jueyi_pe_review,宋诗慧,7,4329.0,4348.0,73.0,618.4285714285714,621.1428571428571,10.428571428571429,0.016789328426862926,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,10014233179,送人审_党政_风险综合_举报&lv2模型_惯犯负反馈异常,eva_party_state_millitary_gov_general_lv2_risk_user_political_report_cmt_review,李中涛,7,4256.0,4275.0,215.0,608.0,610.7142857142857,30.714285714285715,0.050292397660818715,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,国家安全,10031013240,识别_AIGC坦克人,model_llm_pe_LS_aigc_tankman_review,杜衡,7,4224.0,4211.0,141.0,603.4285714285714,601.5714285714286,20.142857142857142,0.0334837330800285,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,党和国家形象负面,10015850166,【送审】敏感人物规则s1s2-涉政劣迹艺人-300vv,Sensitive_Athlete_s1s2_300vv,李中涛,7,4059.0,4076.0,132.0,579.8571428571429,582.2857142857143,18.857142857142858,0.0323846908734053,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
