机审一级标签,策略ID,策略名称,送审原因,POC,日均进审量,日均完审量,日均打标量,打标率,命中原因
领导人,10012314255,【送审】领导人OCR敏感词-nlp,leader_nlp_ocr_antidirt,宋诗慧,3259.285714285714,3223.1428571428573,251.71428571428572,0.07809591348284727,近7天打标率<10%且进审量>100，纳入观察
领导人,15801160,【送审】敏感人物旧模型-XP召回,leader_recall_xi,宋诗慧,2824.8571428571427,2859.1428571428573,193.57142857142858,0.067702608174278,近7天打标率<10%且进审量>100，纳入观察
领导人,10011265292,【送审】19N2粉丝账号,pentax_fans_19_n2,宋诗慧,2628.0,2625.714285714286,167.71428571428572,0.06387377584330794,近7天打标率<10%且进审量>100，纳入观察
领导人,10006132401,gov进审-召回,is_govB_media,宋诗慧,2598.714285714286,2597.8571428571427,5.285714285714286,0.0020346439373109706,近7天打标率<10%且进审量>100，纳入观察
领导人,10010019712,【送审】ocr领导人词表召回,ocr_leader_table_500recall,宋诗慧,2538.285714285714,2562.5714285714284,98.71428571428571,0.03852157431151745,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10022271678,【ZL送人审】指令准入_ocr词表_AIGC,ZL_antidirt_10518_aigc_ocr_aigc_review,张发奇,2539.8571428571427,2521.8571428571427,234.85714285714286,0.09312864668894806,近7天打标率<10%且进审量>100，纳入观察
国家安全,10001819210,【国家安全】雪山狮子旗eva-进审藏语,xueshanshizi_eva_33346_v6_2_jinshen,杜衡,2539.0,2506.714285714286,154.57142857142858,0.06166296232974298,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10024100858,图文_友见_执法负面_ocr&title_自动处置,tuwen_eva_120363_parodyingmartyrs_homogenization_ocr_title_review,李中涛,2259.5714285714284,2273.1428571428573,189.14285714285714,0.08320764203117144,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10019351880,ZL送人审_领导人_标准外_N1与历任_不规范_单字书法VLM&PE,model_llm_safe_mind_leader_beyond_rule_leader_name_chinese_charactor_zl_friend_see_review,张发奇,2340.5,2240.5,97.25,0.04340548984601651,近7天打标率<10%且进审量>100，纳入观察
国家安全,10012388677,【人审】LS词表_Recall95_LLM,LS_keywords_LLM,杜衡,2231.1428571428573,2207.714285714286,104.28571428571429,0.04723696130451663,近7天打标率<10%且进审量>100，纳入观察
国家安全,10030827217,【人审】LSduty哥router+专家特征,LS_duty_boy_26_review,杜衡,2167.4285714285716,2190.285714285714,141.0,0.06437516305765718,近7天打标率<10%且进审量>100，纳入观察
国家安全,10015622164,【人审】国家安全召回词表,national_security_recall_rewords_review,杜衡,2061.8571428571427,2068.5714285714284,45.142857142857146,0.021823204419889504,近7天打标率<10%且进审量>100，纳入观察
领导人,10004770670,【送审】19-N2隐晦悼念,lkq_eva_daonian,宋诗慧,2082.8,2044.0,40.4,0.019765166340508806,近7天打标率<10%且进审量>100，纳入观察
国家安全,10034071913,识别_宣扬分裂主义敏感人物人脸通用PE,model_llm_national_security_fenlie_sensitive_person_face_manual,杜衡,2011.5,1993.5,81.66666666666667,0.040966474375052256,近7天打标率<10%且进审量>100，纳入观察
国家安全,10031846913,【人审-LS风险】封面OCR_LS常规词表_12515,LS_regular_COVER_OCR_words_review,杜衡,1990.2857142857142,1961.5714285714287,30.142857142857142,0.015366688515038963,近7天打标率<10%且进审量>100，纳入观察
国家安全,10010298673,【送审】国家安全高危消重,high_risk_dedup_national_security_to_review,杜衡,1990.4285714285713,1960.857142857143,99.14285714285714,0.050560979163631066,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10008386569,【送审】监管要求-省部级监管特殊收严,eva_0845_govhr_review,李中涛,1840.2857142857142,1823.5714285714287,41.0,0.022483352918135528,近7天打标率<10%且进审量>100，纳入观察
国家安全,10032775232,【人审-藏语队列】维语风险用户全量进审,national_security_uyghur_risk_user_list_manual,杜衡,1816.5,1817.5,108.5,0.05969738651994498,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10022809883,账号内容举报计次_召回送审,user_politic_rept_cnt_review,张发奇,1808.7142857142858,1808.5714285714287,180.57142857142858,0.09984202211690363,近7天打标率<10%且进审量>100，纳入观察
领导人,10022809883,账号内容举报计次_召回送审,user_politic_rept_cnt_review,宋诗慧,1808.7142857142858,1808.5714285714287,180.57142857142858,0.09984202211690363,近7天打标率<10%且进审量>100，纳入观察
领导人,10006575780,【送审】N1高危消重,high_risk_dedup_N1_to_review,宋诗慧,1744.857142857143,1734.4285714285713,117.85714285714286,0.06795156906350383,近7天打标率<10%且进审量>100，纳入观察
侵犯未成年权益,10032123015,【送人审】未成年违法-破解防沉迷,juvenile_pojiefangchenmi,张宇轩,1705.5714285714287,1691.142857142857,167.28571428571428,0.09891873627301909,近7天打标率<10%且进审量>100，纳入观察
领导人,10015391055,【不推荐】涉毛敏感词,leader_mao_antidirt_unrecommend_review,宋诗慧,1630.857142857143,1648.142857142857,51.42857142857143,0.031203952500650084,近7天打标率<10%且进审量>100，纳入观察
领导人,10006128861,送审-gov-b领导人相关内容,gov_b_leader,宋诗慧,1640.857142857143,1641.2857142857142,45.57142857142857,0.027765688919836364,近7天打标率<10%且进审量>100，纳入观察
领导人,10033427008,识别_N1出行-交通管制重点识别,N1_chuxing_model_llm_pe_review,宋诗慧,1568.0,1607.3333333333333,12.0,0.007465781833264205,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10027554497,【ZL送人审】综合_指令自见综合&举报-副本34,ZL_eva_227415_general_multi_rept_review,张发奇,1494.5,1577.5,94.5,0.059904912836767035,近7天打标率<10%且进审量>100，纳入观察
领导人,10004770670,【送审】19-N2隐晦悼念-节点加强版,lkq_eva_daonian,宋诗慧,1444.0,1548.0,7.0,0.004521963824289405,近7天打标率<10%且进审量>100，纳入观察
色情性化,10023903408,识别_维语_卖片,sqds_sqdl_wy_mp_review,刘小楷,1495.142857142857,1495.4285714285713,120.0,0.08024455483377914,近7天打标率<10%且进审量>100，纳入观察
国家安全,10032811670,【人审-敏感人物】历史违规+敏感人物人脸,national_security_sensitive_person_with_violation_record_manual,杜衡,1539.5714285714287,1495.142857142857,120.85714285714286,0.0808331740875215,近7天打标率<10%且进审量>100，纳入观察
国家安全,10012811199,【人审-LS风险】标题_LS常规词表_8887,LS_regular_title_words_review,杜衡,1502.2857142857142,1489.857142857143,61.285714285714285,0.04113529580976124,近7天打标率<10%且进审量>100，纳入观察
领导人,10006180980,govb送审-命中兜底/领导人/国安词表,gov_b_sensitive_words,宋诗慧,1477.2857142857142,1477.5714285714287,32.0,0.021657159431499564,近7天打标率<10%且进审量>100，纳入观察
国家安全,10032775232,【人审-维语队列】维语风险用户全量进审,national_security_uyghur_risk_user_list_manual,杜衡,1475.2,1474.4,111.2,0.07542051003798156,近7天打标率<10%且进审量>100，纳入观察
国家安全,15850775,线上+新疆召回模型+进人审,sinkiang,杜衡,1386.2857142857142,1387.142857142857,70.28571428571429,0.050669412976313076,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10028068996,识别_不规范使用体制机制元素PE_中外对比,model_llm_mechanisms_improper_use_review,李中涛,1351.2857142857142,1353.5714285714287,105.0,0.07757255936675461,近7天打标率<10%且进审量>100，纳入观察
领导人,10008022137,【送人审】N1高危消重-低危名单豁免,n1_high_risk_dudep_with_crop_unsafeuser,宋诗慧,1324.142857142857,1309.0,80.42857142857143,0.061442758921750516,近7天打标率<10%且进审量>100，纳入观察
国家安全,15857112,【人审-维语队列】维语音频命中2724进审,hit_antidirt_2724,杜衡,1306.5714285714287,1306.0,26.285714285714285,0.020126886895646467,近7天打标率<10%且进审量>100，纳入观察
领导人,10013160984,直接进审敏感词-底线迁移,direct_review_sensitive_word,宋诗慧,1270.5714285714287,1269.142857142857,18.714285714285715,0.014745610085547051,近7天打标率<10%且进审量>100，纳入观察
国家安全,15857110,【人审-藏语队列】声纹进审-短视频：达赖,hit_sid_gandalf_dalai,杜衡,1263.5714285714287,1262.2857142857142,37.57142857142857,0.029764599366229064,近7天打标率<10%且进审量>100，纳入观察
违法违规,10033607810,违法违规-买卖、宣扬毒品-策略补充-召回-v0626,risk_of_illegal_drug_list_v0626,叶健,1162.0,1164.6,96.4,0.08277520178602095,近7天打标率<10%且进审量>100，纳入观察
国家安全,15853534,【LS】文本细则-敏感内容-LS,xize_sensitive_ls,杜衡,1161.7142857142858,1150.142857142857,46.285714285714285,0.04024344801887964,近7天打标率<10%且进审量>100，纳入观察
违法违规,10026036091,违法违规-违禁商品和服务-违规通信与广电服务-召回-翻墙工具-0319,risk_of_illegal_bypass_vpn_accelerator_v1,叶健,1135.0,1137.6,91.8,0.08069620253164557,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10004801327,【送审】历史虚无-文革,eva_045_wenge_sh,李中涛,1096.2857142857142,1082.857142857143,95.14285714285714,0.08786279683377309,近7天打标率<10%且进审量>100，纳入观察
领导人,10033564861,识别_影射领导人,model_llm_yingshe_ldr_pe_review,宋诗慧,1021.4285714285714,1062.7142857142858,39.714285714285715,0.03737061432988305,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10020031117,【送审】ZL弹窗_习酒_影射/负面情绪,n1_attack_eva_xijiu_review,张发奇,994.7142857142857,971.7142857142857,7.857142857142857,0.008085857100852691,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,15847944,【送审】历史虚无ASR词表,hit_antidirt_1768,李中涛,935.5714285714286,947.0,82.42857142857143,0.08704178609141651,近7天打标率<10%且进审量>100，纳入观察
领导人,10013518351,【送人审】N1-大字风险,dazi_attack_n1_review,宋诗慧,933.8571428571429,929.2857142857143,44.285714285714285,0.04765564950038432,近7天打标率<10%且进审量>100，纳入观察
领导人,10012314254,【送审】领导人OCR词表-中,leader_ocr_antidirt,宋诗慧,937.2857142857143,926.1428571428571,72.28571428571429,0.07805028536171525,近7天打标率<10%且进审量>100，纳入观察
色情性化,10032378726,色情低俗-色情裸露-足球露屁股-高vveva,sqds_sqll_zuqiu_vv_eva_review,刘小楷,890.6666666666666,891.3333333333334,25.166666666666668,0.028234854151084517,近7天打标率<10%且进审量>100，纳入观察
国家安全,15853531,【人审-维语队列】新疆进审-词表,xinjiang_review_antidirt,杜衡,882.7142857142857,883.5714285714286,4.571428571428571,0.0051738075990299115,近7天打标率<10%且进审量>100，纳入观察
国家安全,10031460843,识别_传播LS敏感内容_坦克人,model_llm_cblsmgnr_tankeren_all_disp,杜衡,866.8571428571429,874.0,25.428571428571427,0.029094475318731612,近7天打标率<10%且进审量>100，纳入观察
领导人,15798711,【送人审】声纹进审：一号夫人,hit_sid_gandalf_PF,宋诗慧,832.8571428571429,840.2857142857143,21.142857142857142,0.025161509690581434,近7天打标率<10%且进审量>100，纳入观察
领导人,10033602157,识别_【送审】毛邓周&十大元帅结合高阈值结合eva-gandalf替换,high_threshold_leader_mao_B_eva_llm_gandalf,宋诗慧,818.4285714285714,821.4285714285714,72.0,0.08765217391304347,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10014765564,送人审_机构公职_执法负面_综合风险_长周期抽样,eva_72705_gov_enforcement_neg_general_long_term_sample_review,李中涛,821.5714285714286,809.1428571428571,77.28571428571429,0.09551553672316385,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10014769961,【ZL送人审】杨兰兰文本识别,ZL_yanglanlan_textEVA_renshen,张发奇,831.8571428571429,805.7142857142857,50.857142857142854,0.06312056737588652,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10034095364,识别_过激民族主义_综合_送人审,social_foreign_model_llm_pe_nationalism_ganeral_unrecommend_review,张发奇,794.6666666666666,790.8333333333334,72.83333333333333,0.09209694415173868,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10022929691,【实验】党国_账号内容举报计次_召回送审,cpc_user_politic_rept_cnt_review,张发奇,738.0,738.4285714285714,32.285714285714285,0.04372218997871929,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10022929691,【实验】党国_账号内容举报计次_召回送审,cpc_user_politic_rept_cnt_review,李中涛,738.0,738.4285714285714,32.285714285714285,0.04372218997871929,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10023294322,【图文】账号内容举报计次_召回送审,user_politic_rept_cnt_review,张发奇,734.2857142857143,734.5714285714286,70.57142857142857,0.09607156748346947,近7天打标率<10%且进审量>100，纳入观察
领导人,10023294322,【图文】账号内容举报计次_召回送审,user_politic_rept_cnt_review,宋诗慧,734.2857142857143,734.5714285714286,70.57142857142857,0.09607156748346947,近7天打标率<10%且进审量>100，纳入观察
国家安全,10011642540,【人审】LS坦克人+专家特征,LS_tankman_26_review,杜衡,697.1428571428571,704.8571428571429,34.714285714285715,0.04925010133765707,近7天打标率<10%且进审量>100，纳入观察
领导人,10013619675,【送审】N1高危消重-兜底,high_risk_dedup_N1_to_review_qianyi,宋诗慧,709.8571428571429,703.2857142857143,43.285714285714285,0.061547836684948204,近7天打标率<10%且进审量>100，纳入观察
领导人,10032190109,gov_B出现国内国外领导人脸,gov_b_leader,宋诗慧,691.4285714285714,691.8571428571429,41.0,0.059260788767293,近7天打标率<10%且进审量>100，纳入观察
违法违规,10034122543,识别_违法违规-违规租售房屋广告-北京短租房-召回-v0703,risk_of_illegal_house_rent_v0703,叶健,675.6666666666666,675.0,16.333333333333332,0.02419753086419753,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10015850167,【送审】敏感人物规则s1s2-敏感官员-300vv,Local_sensitive_officials_s1s2_300vv,李中涛,674.1428571428571,674.2857142857143,18.285714285714285,0.02711864406779661,近7天打标率<10%且进审量>100，纳入观察
领导人,10028741540,识别_隐晦怀念HJT,hard_miss_HJT_review,宋诗慧,666.8571428571429,672.1428571428571,11.857142857142858,0.017640807651434644,近7天打标率<10%且进审量>100，纳入观察
领导人,10002166947,【送审】毛邓周&十大元帅结合高阈值,high_threshold_leader_mao_B,宋诗慧,671.7142857142857,665.1428571428571,62.42857142857143,0.0938573883161512,近7天打标率<10%且进审量>100，纳入观察
领导人,10009679112,【送审】毛人脸模型叠加eva召回,leader_mao_eva_recall,宋诗慧,661.8571428571429,663.0,26.428571428571427,0.039862098685628095,近7天打标率<10%且进审量>100，纳入观察
国家安全,10008349497,【新】国家分裂主义-宣扬分裂主义-不完整地图,fenlie_buwanzhnegditu_songshen,杜衡,668.8571428571429,662.4285714285714,27.428571428571427,0.04140608151822299,近7天打标率<10%且进审量>100，纳入观察
领导人,10012547264,【送审】领导人漫画-XP召回,cartoon_leader_xp_recall,宋诗慧,596.0,655.5,28.5,0.043478260869565216,近7天打标率<10%且进审量>100，纳入观察
国家安全,10012811201,【人审-LS风险】ASR_LS常规词表_8884,LS_regular_ASR_words_review,杜衡,627.4285714285714,646.8571428571429,12.714285714285714,0.01965547703180212,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10015850165,【送审】敏感人物规则s1s2-异见人士-300vv,opinion_person_s1s2_300vv,李中涛,622.5714285714286,623.2857142857143,12.285714285714286,0.019711207884483155,近7天打标率<10%且进审量>100，纳入观察
领导人,10033229846,识别_444决议关联N1,model_llm_444jueyi_pe_review,宋诗慧,618.4285714285714,621.1428571428571,10.428571428571429,0.016789328426862926,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10014233179,送人审_党政_风险综合_举报&lv2模型_惯犯负反馈异常,eva_party_state_millitary_gov_general_lv2_risk_user_political_report_cmt_review,李中涛,608.0,610.7142857142857,30.714285714285715,0.050292397660818715,近7天打标率<10%且进审量>100，纳入观察
国家安全,10031013240,识别_AIGC坦克人,model_llm_pe_LS_aigc_tankman_review,杜衡,603.4285714285714,601.5714285714286,20.142857142857142,0.0334837330800285,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10015850166,【送审】敏感人物规则s1s2-涉政劣迹艺人-300vv,Sensitive_Athlete_s1s2_300vv,李中涛,579.8571428571429,582.2857142857143,18.857142857142858,0.0323846908734053,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10014154279,【ZL送人审】N1姓名单字-迭代,zl_eva_n1_name_xmcz_review,张发奇,568.2857142857143,554.5714285714286,3.5714285714285716,0.006439979392065945,近7天打标率<10%且进审量>100，纳入观察
领导人,10029988308,【送人审】N1高准词表评论召回,N1_1407_comment_xiaojie_review,宋诗慧,547.4285714285714,553.2857142857143,17.714285714285715,0.03201652465788794,近7天打标率<10%且进审量>100，纳入观察
国家安全,10025185118,新疆进审-词表-副本20,xinjiang_review_antidirt,杜衡,546.4,546.4,1.2,0.0021961932650073207,近7天打标率<10%且进审量>100，纳入观察
国家安全,10013323447,藏语命中2553进审-OCR,hit_antidirt_2553_ocr_review,杜衡,547.7142857142857,526.4285714285714,27.571428571428573,0.05237449118046133,近7天打标率<10%且进审量>100，纳入观察
领导人,10033177739,识别_N1多元素组合,model_llm_N1_multis_pe_review,宋诗慧,522.1428571428571,517.1428571428571,11.142857142857142,0.02154696132596685,近7天打标率<10%且进审量>100，纳入观察
国家安全,10030795066,【人审】LS坦克人router+专家特征,LS_tankman_26_review,杜衡,513.0,514.2857142857143,8.142857142857142,0.015833333333333335,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10033757832,送人审_偏激涉外_综合_累犯_实时黑库,social_foreign_viking_social_foreign_general_review,张发奇,489.14285714285717,489.85714285714283,42.57142857142857,0.08690580344123651,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10012921699,短&中_民生&涉外_ocr送审_词表迁移,hit_ocr_ms_foreign,张发奇,487.85714285714283,486.7142857142857,43.0,0.08834751981215146,近7天打标率<10%且进审量>100，纳入观察
领导人,10014244613,【送审】习酒结合键政音乐,xijiu_n1_review,宋诗慧,479.3333333333333,484.0,1.6666666666666667,0.003443526170798898,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10012303143,【实验】送审-展示涉外争议经历,controversial_recall_V1,张发奇,487.0,480.0,28.142857142857142,0.05863095238095238,近7天打标率<10%且进审量>100，纳入观察
国家安全,10018521669,【人审-维语队列】维语OCR命中2724进审,hit_antidirt_2724_ocr_review,杜衡,477.85714285714283,477.85714285714283,7.142857142857143,0.014947683109118086,近7天打标率<10%且进审量>100，纳入观察
国家安全,10030452405,识别_评论区Emoji表情排列成LS风险,model_llm_ls_comment_area_emoji_chat_vision_risk_manual,杜衡,470.57142857142856,468.14285714285717,24.571428571428573,0.05248703082087275,近7天打标率<10%且进审量>100，纳入观察
领导人,10028916113,识别_HJT二十大离场,HJT_20da_lixi_ai_face_review,宋诗慧,447.2857142857143,450.57142857142856,15.142857142857142,0.033608116677235254,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10001855954,【ZL送人审】ctd手动录入用户全审,special_user_review,张发奇,460.85714285714283,447.14285714285717,22.142857142857142,0.04952076677316294,近7天打标率<10%且进审量>100，纳入观察
国家安全,15857104,藏语命中2553进审,hit_antidirt_2553,杜衡,442.0,444.57142857142856,29.285714285714285,0.06587403598971722,近7天打标率<10%且进审量>100，纳入观察
领导人,10019351881,送人审_出现领导人元素_标准外_N1与历任_二次元键政_数字特征&PE,model_llm_safe_mind_sens_anime_leader_appear_anime_risk_unrecommend_review,宋诗慧,436.57142857142856,433.7142857142857,24.428571428571427,0.05632411067193676,近7天打标率<10%且进审量>100，纳入观察
领导人,10009757637,【送审】23版敏感人物规则-S1&S2核心领导人,leader_s1s2_core_send_tcs,宋诗慧,426.14285714285717,426.7142857142857,35.142857142857146,0.08235687981252092,近7天打标率<10%且进审量>100，纳入观察
国家安全,10010298673,【送审】国家安全高危消重,high_risk_dedup_public_opinion_to_review,杜衡,422.57142857142856,421.14285714285717,32.142857142857146,0.07632293080054274,近7天打标率<10%且进审量>100，纳入观察
领导人,10026220274,【人审】N1-词表_ZL迁移,ocr_title_n1_risk_words_fromZL_review,宋诗慧,421.0,419.42857142857144,10.428571428571429,0.02486376021798365,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10021368610,【ZL送人审】指令综合_必审用户名单,ZL_user_list_zl_general_high_risk_user_review,张发奇,420.85714285714283,413.85714285714283,7.142857142857143,0.01725923369002416,近7天打标率<10%且进审量>100，纳入观察
国家安全,10009529736,【藏历新年】晒佛相关,shaifo_lama_v1_songshen_0220,杜衡,407.0,402.7142857142857,35.42857142857143,0.08797445902802412,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10018462658,友见_执法负面_同质化文案_模态通用_词表,antidirt_9946_enforcement_neg_general_lv3_friend_see,李中涛,400.85714285714283,393.85714285714283,22.571428571428573,0.05730866884294523,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10024140820,【ZL送人审】两委换届_两委换届_multi&Regexp_迭代,ZL_eva_219749_liangweihuanjie_multi_regexp_selfsee_review,张发奇,400.14285714285717,390.7142857142857,37.0,0.09469835466179159,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10027701467,视频消费_互动异常召回_叠加模型送审_党国,interaction_extreme_value_recall_review,李中涛,381.14285714285717,385.57142857142856,29.857142857142858,0.07743608743979252,近7天打标率<10%且进审量>100，纳入观察
国家安全,10008387617,【新】极端主义-宣扬极端主义-极端暴恐相关,jiduan_jiduanbaokong_songshen,杜衡,388.14285714285717,382.0,9.857142857142858,0.02580403889304413,近7天打标率<10%且进审量>100，纳入观察
领导人,10032398961,govb送审-高风险userid,gov_b_high_risk_user,宋诗慧,381.42857142857144,381.42857142857144,17.0,0.04456928838951311,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10019440556,【ZL送人审】场景二电诈团伙真实录像/画面-300,ZL_eva_93879_300_selfsee,张发奇,377.57142857142856,377.0,31.857142857142858,0.08450170519136037,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10015084048,送人审_历史虚无_革命负面_综合风险_长周期聚类,eva_73281_nihilism_revolution_neg_general_long_term_cluster_review,李中涛,378.7142857142857,375.0,27.428571428571427,0.07314285714285715,近7天打标率<10%且进审量>100，纳入观察
国家安全,10030813524,【人审】LS国殇之柱router+专家特征,LS_guoshangzhizhu_26_review,杜衡,359.7142857142857,363.0,25.571428571428573,0.07044470680834317,近7天打标率<10%且进审量>100，纳入观察
领导人,15798693,【送审】恶搞N1漫画进审,cartoon_leader_19,宋诗慧,362.57142857142856,359.2857142857143,5.571428571428571,0.015506958250497018,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10012921704,短_民生&涉外_nlp&title送审_词表迁移,short_hit_nlp_title_ms_foreign,张发奇,351.57142857142856,352.57142857142856,24.428571428571427,0.0692868719611021,近7天打标率<10%且进审量>100，纳入观察
领导人,10006180980,govb送审-命中兜底/领导人/国安词表,gov_b_leader,宋诗慧,351.42857142857144,351.7142857142857,34.0,0.0966693744922827,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10004801323,【送审】历史虚无-恶搞英烈,egaoyinglie_032v2_sh,李中涛,354.2857142857143,350.14285714285717,32.57142857142857,0.09302325581395349,近7天打标率<10%且进审量>100，纳入观察
国家安全,10010389895,【人审】新疆进审-地区-召回,xinjiang_review_area_recall,杜衡,347.57142857142856,348.57142857142856,11.714285714285714,0.03360655737704918,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10011106020,【短视频】历史虚无敏感人物s3召回-新,other_political_matters_s3_release_new,李中涛,344.14285714285717,344.42857142857144,10.857142857142858,0.03152218996267109,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10011158685,【人审】送审-迷彩战斗服征兵关键词,micai_recruitment_review,张发奇,350.57142857142856,344.0,25.142857142857142,0.07308970099667775,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10012921698,短&中_民生&涉外_asr送审_词表迁移,hit_asr_5966_ms_foreign,张发奇,334.14285714285717,340.0,28.428571428571427,0.08361344537815125,近7天打标率<10%且进审量>100，纳入观察
领导人,15798699,【地理围栏】N1行程管控,n1_special_social,宋诗慧,337.5,338.5,1.8333333333333333,0.0054160512063023145,近7天打标率<10%且进审量>100，纳入观察
国家安全,10031618893,gov_B账号LS识别策略,gov_b_ls_model_all,杜衡,333.85714285714283,333.85714285714283,1.1428571428571428,0.0034231921266581087,近7天打标率<10%且进审量>100，纳入观察
偏激社会情绪和涉外言论,10015228482,推人-搬运用户新发,zzyy_chaoxi_0vv,张发奇,328.85714285714283,328.7142857142857,30.0,0.09126466753585398,近7天打标率<10%且进审量>100，纳入观察
领导人,10022135037,【送审】23版敏感人物规则-类N1,similiar_n1_review,宋诗慧,326.0,326.57142857142856,17.0,0.05205599300087489,近7天打标率<10%且进审量>100，纳入观察
领导人,10028459844,送人审_领导人_综合_多次多天重复违规用户-召回,expert_redivist_leader_general_repeat_violate_user_review,宋诗慧,318.2857142857143,322.2857142857143,10.571428571428571,0.03280141843971631,近7天打标率<10%且进审量>100，纳入观察
领导人,15798715,【送人审】辱骂习,hit_insultN1,宋诗慧,315.0,320.85714285714283,11.428571428571429,0.03561887800534283,近7天打标率<10%且进审量>100，纳入观察
